"","half_of_time_with_data","uses_biodiversity_data","produces_biodiversity_data","manages_biodiversity_data","EOVs","EBVs","emodnet","obis","gbif","national_repos","project_repos","geological","biological","socioeconomic","acoustic","fishery","satellite","pollution","physical","chemical","numeric","visual","reporting","spatial_planning","eia","conservation","policy_eval","policymaking","scientific_research","communication","education","decision_making","protected_area_mgmt","indicator_dev","product_dev","maps","scenarios","models","graphs","tools_integrate_data","other","access","data_gettinghold","technical","data_timing","data_cost","data_consistency","lack_metadata","data_interoperable","data_interpretation","affiliation","area_of_work","region","ecosystem","marine_ecosystem","freshwater_ecosystem","coastal_ecosystem","encourage_data_use","data_literacy_binary"
"46",1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,"Local or regional governmental institution","Management and administration","Northern America","Marine",1,0,0,1,1
"47",1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,"Local or regional governmental institution","Conservation and environmental management","Northern America","Coastal,Terrestrial",0,0,1,1,1
"48",1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,"University","Academia, research and education","Northern America","Marine",1,0,0,0,0
"49",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,"Other","Academia, research and education","Southern Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"50",2,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,"Other academic research institution","Data management","Southern Europe","Marine,Freshwater",1,1,0,1,0
"51",1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,"University","Academia, research and education","Western Europe","Terrestrial",0,0,0,0,0
"52",2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,"Other academic research institution","Data management","Western Europe","Coastal",0,0,1,0,0
"53",2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"54",1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,"Business and Industry","Management and administration","Northern America","Freshwater",0,1,0,1,1
"55",1,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,"Business and Industry","Conservation and environmental management","Northern America","Terrestrial",0,0,0,1,1
"56",2,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,"University","Academia, research and education","Northern America","Marine,Freshwater",1,1,0,0,0
"57",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,"University","Academia, research and education","Western Asia","Marine,Coastal",1,0,1,1,1
"58",1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,"National governmental institution","Conservation and environmental management","Southern Europe","Marine,Coastal",1,0,1,1,0
"59",1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,"Other academic research institution","Conservation and environmental management","Southern Europe","Freshwater",0,1,0,1,0
"60",2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,"Other academic research institution","Academia, research and education","Southern Europe","Marine,Coastal",1,0,1,1,0
"61",1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,"University","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"62",1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,0,0
"63",1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,"Nongovernmental organization (NGO)","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,0
"64",1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,"University","Academia, research and education","Northern America","Marine,Coastal",1,0,1,0,1
"65",1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,"Local or regional governmental institution","Conservation and environmental management","Northern America","Marine,Coastal",1,0,1,1,1
"66",2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"67",1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"European Union and its agencies","Academia, research and education","Western Europe","Marine,Coastal,Freshwater",1,1,1,1,0
"68",1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,"Business and Industry","Law, policy and decision-making","Western Europe","Terrestrial",0,0,0,1,1
"69",2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"70",1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,"University","Conservation and environmental management","Oceania","Marine,Coastal",1,0,1,0,0
"71",1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,"Other academic research institution","Academia, research and education","Eastern Europe","Marine,Coastal",1,0,1,1,0
"72",1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,0,0
"73",1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,"Local association","Law, policy and decision-making","Eastern Europe","Freshwater",0,1,0,0,0
"74",1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,"Other academic research institution","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,0
"75",1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"76",2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,"University","Conservation and environmental management","Africa","Marine,Coastal",1,0,1,1,0
"77",2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,"University","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"78",2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,"University","Data management","Western Europe","Marine",1,0,0,0,1
"79",2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,"University","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"80",2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,"University","Data management","Northern America","Marine,Coastal",1,0,1,1,1
"81",1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,"National governmental institution","Law, policy and decision-making","Latin America & Caribbean","Marine,Coastal",1,0,1,1,1
"82",1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,"Nongovernmental organization (NGO)","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"83",1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,2,"Other","Conservation and environmental management","Western Europe","Freshwater",0,1,0,1,0
"84",2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,"University","Academia, research and education","Northern America","Marine",1,0,0,0,1
"85",1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,0
"86",2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,"National governmental institution","Data management","Northern America","Marine,Coastal",1,0,1,1,1
"87",2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,"National governmental institution","Academia, research and education","Northern Europe","Marine",1,0,0,1,1
"88",2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,"National governmental institution","Conservation and environmental management","Southern Europe","Marine,Coastal",1,0,1,1,0
"89",1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,"University","Academia, research and education","Southern Europe","Marine",1,0,0,0,1
"90",2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Business and Industry","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,1
"91",2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,"Business and Industry","Academia, research and education","Western Europe","Terrestrial",0,0,0,0,1
"92",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,"Nongovernmental organization (NGO)","Conservation and environmental management","Northern America","Marine,Coastal",1,0,1,0,1
"93",1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,"University","Academia, research and education","Asia","Marine,Coastal",1,0,1,1,0
